"1111BAB","19 TSE Chamade","1995","750.49","Renault","GRISMAR10","1"
"1258FRA","Passat","2000","8000.49","Volkswagen","AZMAR10","1"
"1478CCA","Astra","2003","3200.88","Opel","AMAR10","2"
"2222AAA","A1 TD1","2023","5000.99","Audi","BLA00","2"
"4945EEE","AX 14 TZX","2005","1500.65","Citroen","BLA00","3"
"5555BPE","320 D","2010","10000.5","BMW","VERDOS10","3"
"5848EEA","Saxo","2007","4000.36","Citroen","GRAN10","4"
"6466III","Arosa","2011","3000.99","Seat","ROJ00","4"
"8523BPA","Megane Europa","2014","10000.7","Renault","AZMAR10","5"
"9345VPP","206HDI","2020","6500.75","Peugeot","GRAN10","5"
